"101358","Percentage abnormal sperm","2","104859833","104859833"
"101359","Percentage abnormal sperm","2","104859833","104859919"
"102047","Sperm motility","29","43400141","43400141"
"120257","Sperm motility","5","89051206","89051206"
"120258","Sperm motility","5","89147995","89147995"
"120259","Sperm motility","7","5753236","5753236"
"120260","Sperm motility","15","63075930","63075930"
"120261","Sperm motility","17","62937635","62937635"
"120262","Sperm motility","17","62967008","62967008"
"120263","Sperm motility","17","64011119","64011119"
"120264","Sperm concentration","1","5720949","5720949"
"120265","Sperm concentration","1","64527662","64527662"
"120266","Sperm concentration","9","95011385","95011385"
"120267","Sperm concentration","15","34378607","34378607"
"120268","sperm counts","1","148550657","148550657"
"120269","sperm counts","23","19086371","19086371"
"120270","sperm counts","27","43507605","43507605"
"120271","Sperm motility","23","19086371","19086371"
"126952","Sperm plasma membrane integrity","6","16963160","16963160"
"126953","Sperm plasma membrane integrity","6","16918116","16918116"
"126954","Sperm plasma membrane integrity","6","17472700","17472700"
"130710","Sperm DNA fragmentation","28","33476541","33476541"
"130711","Sperm DNA fragmentation","28","33481169","33481169"
"130712","Sperm DNA fragmentation","8","16785530","16785530"
"130713","Sperm DNA fragmentation","28","32400708","32400708"
"139876","sperm counts","7","61473314","61473314"
"139877","Sperm motility","7","61473314","61473314"
"139881","sperm counts","6","1969596","1969596"
"139882","Sperm motility","6","1969596","1969596"
"15935","sperm counts","27","6051428","6051428"
"15936","Sperm motility","27","6051428","6051428"
"15937","Sperm motility","27","6045706","6045706"
"15938","Percentage abnormal sperm","27","6045706","6045706"
"18802","sperm counts","11","31450705","31450705"
"18803","Sperm acrosome integrity rate","2","107502020","107502020"
"18805","sperm counts","4","79296181","79296181"
"18806","Sperm motility","4","79296181","79296181"
"30704","Percentage normal sperm","X","5392428","5392428"
"30705","Percentage normal sperm","X","5253582","5253582"
"30706","Percentage normal sperm","X","5024699","5024699"
"30707","Percentage normal sperm","X","4876001","4876001"
"30708","Percentage normal sperm","X","5690339","5690339"
"30709","Percentage normal sperm","X","7064176","7064176"
"30712","Percentage normal sperm","X","31088648","31088648"
"30713","Percentage normal sperm","X","31245982","31245982"
"30714","Percentage normal sperm","X","34138061","34138061"
"30715","Percentage normal sperm","X","34185211","34185211"
"30716","Percentage normal sperm","X","37028182","37028182"
"30717","Percentage normal sperm","X","37059859","37059859"
"30718","Percentage normal sperm","X","37116676","37116676"
"30719","Percentage normal sperm","X","37217426","37217426"
"30720","Percentage normal sperm","X","37249338","37249338"
"30721","Percentage normal sperm","X","37457419","37457419"
"30722","Percentage normal sperm","X","37810647","37810647"
"30723","Percentage normal sperm","X","39070128","39070128"
"30724","Percentage normal sperm","X","39813838","39813838"
"30725","Percentage normal sperm","X","40049661","40049661"
"30726","Percentage normal sperm","X","45297410","45297410"
"30727","Percentage normal sperm","X","45440065","45440065"
"30728","Percentage normal sperm","X","45594110","45594110"
"30729","Percentage normal sperm","X","45781820","45781820"
"30730","Percentage normal sperm","X","47380735","47380735"
"30731","Percentage normal sperm","X","47864417","47864417"
"30732","Percentage normal sperm","X","48781988","48781988"
"30733","Percentage normal sperm","X","47964923","47964923"
"30734","Percentage normal sperm","X","53922308","53922308"
"30735","Percentage normal sperm","X","54167688","54167688"
"30736","Percentage normal sperm","X","54327012","54327012"
"30737","Percentage normal sperm","X","54609296","54609296"
"30739","Percentage normal sperm","X","50509452","50509452"
"30740","Percentage normal sperm","X","53743256","53743256"
"30741","Percentage normal sperm","X","53820965","53820965"
"30775","Percentage normal sperm","X","92004584","92004584"
"30776","Percentage normal sperm","X","92049876","92049876"
"56268","Sperm motility","1","9592005","9592005"
"56269","Sperm motility","1","10605227","10605227"
"56270","Sperm motility","1","88948850","88948850"
"56271","Sperm motility","1","104107635","104107635"
"56272","Sperm motility","2","32838943","32838943"
"56273","Sperm motility","3","52005921","52005921"
"56274","Sperm motility","4","16124536","16124536"
"56275","Sperm motility","7","71439782","71439782"
"56276","Sperm motility","8","100428830","100428830"
"56277","Sperm motility","10","95001362","95001362"
"56278","Sperm motility","10","97441280","97441280"
"56279","Sperm motility","11","31665059","31665059"
"56280","Sperm motility","11","37079751","37079751"
"56281","Sperm motility","11","37101530","37101530"
"56282","Sperm motility","21","29393662","29393662"
"56283","Sperm motility","21","31415618","31415618"
"56284","Sperm motility","21","48597963","48597963"
"56285","Sperm motility","24","56457670","56457670"
"56286","Sperm motility","26","21083263","21083263"
"56287","Sperm motility","28","26770398","26770398"
"56291","Sperm motility","X","2234277","2234277"
"56292","sperm counts","2","99445924","99445924"
"56294","sperm counts","8","244512","244512"
"56295","sperm counts","8","99761291","99761291"
"56296","sperm counts","8","105479650","105479650"
"56297","sperm counts","16","73361835","73361835"
"56298","sperm counts","X","4876001","4876001"
"56299","sperm counts","X","114847644","114847644"
"56300","sperm counts","X","4340225","4340225"
"56301","sperm counts","X","116178434","116178434"
"56302","sperm counts","X","116419272","116419272"
"56303","sperm counts","X","116452892","116452892"
"56304","sperm counts","1","93299040","93299040"
"56305","sperm counts","6","101516993","101516993"
"56306","sperm counts","23","46921326","46921326"
"56307","sperm counts","24","56457670","56457670"
"56308","sperm counts","X","114847644","114847644"
"56309","sperm counts","X","116419272","116419272"
"56310","sperm counts","X","116452892","116452892"
"56946","Percentage normal sperm","X","47180085","47180085"
"56947","Percentage normal sperm","X","51060509","51060509"
"56948","Percentage normal sperm","X","50898547","50898547"
"62048","Sperm motility","1","1929664","1929664"
"62049","Sperm motility","1","42722646","42722646"
"62050","Sperm motility","2","130307162","130307162"
"62051","Sperm motility","2","131194707","131194707"
"62052","Sperm motility","2","131295862","131295862"
"62053","Sperm motility","3","96393435","96393435"
"62054","Sperm motility","4","51363243","51363243"
"62055","Sperm motility","4","68669575","68669575"
"62056","Sperm motility","5","39694480","39694480"
"62058","Sperm motility","5","87436773","87436773"
"62059","Sperm motility","6","92640898","92640898"
"62060","Sperm motility","7","23023512","23023512"
"62061","Sperm motility","8","29413608","29413608"
"62062","Sperm motility","8","88538731","88538731"
"62063","Sperm motility","8","89649415","89649415"
"62064","Sperm motility","8","91700120","91700120"
"62065","Sperm motility","10","3945519","3945519"
"62066","Sperm motility","10","98340013","98340013"
"62067","Sperm motility","11","13903987","13903987"
"62068","Sperm motility","12","43440099","43440099"
"62070","Sperm motility","21","8388652","8388652"
"62071","Sperm motility","23","13671955","13671955"
"62072","Sperm motility","24","59057936","59057936"
"62073","Sperm motility","25","21825112","21825112"
"62074","Sperm motility","26","16178837","16178837"
"62075","Sperm motility","26","27844192","27844192"
"62077","Sperm motility","27","23586241","23586241"
"62078","Sperm motility","27","24839161","24839161"
"62079","Sperm motility","29","43066817","43066817"
"62080","Sperm motility","29","40631214","40631214"
"62081","Sperm motility","X","37326230","37326230"
"62086","sperm counts","22","47579225","47579225"
"62087","sperm counts","22","47981505","47981505"
"62088","sperm counts","22","48047371","48047371"
"62089","sperm counts","25","6475713","6475713"
"65812","Sperm motility","5","89051206","89051206"
"65813","Sperm motility","5","89147995","89147995"
"65814","Sperm motility","7","5753236","5753236"
"65815","Sperm motility","15","63075930","63075930"
"65816","Sperm motility","17","62937635","62937635"
"65817","Sperm motility","17","62967008","62967008"
"65818","Sperm motility","17","64011119","64011119"
"65819","Sperm concentration","1","5720949","5720949"
"65820","Sperm concentration","1","64527662","64527662"
"65821","Sperm concentration","9","95011385","95011385"
"65822","Sperm concentration","15","34378607","34378607"
"65823","sperm counts","1","148550657","148550657"
"65824","sperm counts","12","2988843","2988843"
"65825","sperm counts","23","19086371","19086371"
"65826","sperm counts","27","43507605","43507605"
"65827","Sperm motility","12","2988843","2988843"
"65828","Sperm motility","23","19086371","19086371"
"81397","Percentage normal sperm","X","37085414","37085414"
"81398","Percentage normal sperm","X","37089551","37089551"
"81399","Percentage normal sperm","X","37098747","37098747"
"81400","Percentage normal sperm","X","78602459","78602459"
"81401","Percentage normal sperm","X","55495467","55495467"
"81402","Percentage normal sperm","X","56298878","56298878"
"81403","Percentage normal sperm","X","70229578","70229578"
"81404","Percentage normal sperm","X","70238544","70238544"
"81405","Percentage normal sperm","X","70239578","70239578"
"81406","Percentage normal sperm","X","70267231","70267231"
"81407","Percentage normal sperm","X","70286417","70286417"
"81408","Percentage normal sperm","X","70290058","70290058"
"81409","Percentage normal sperm","X","70337155","70337155"
"81410","Percentage normal sperm","X","69950478","69950478"
"81411","Percentage normal sperm","X","69962920","69962920"
"81412","Percentage normal sperm","X","69983900","69983900"
"81413","Percentage normal sperm","X","69996402","69996402"
"81414","Percentage normal sperm","X","70014550","70014550"
"81415","Percentage normal sperm","X","70044903","70044903"
"81416","Percentage normal sperm","X","70052584","70052584"
"81417","Percentage normal sperm","X","70084304","70084304"
"81418","Percentage normal sperm","X","70086081","70086081"
"81419","Percentage normal sperm","X","70165326","70165326"
"81420","Percentage normal sperm","X","70185181","70185181"
"81421","Percentage normal sperm","X","70201740","70201740"
"81422","Percentage normal sperm","X","69862604","69862604"
"81423","Percentage normal sperm","X","69864777","69864777"
"81424","Percentage normal sperm","X","37715103","37715103"
"81425","Percentage normal sperm","X","37740305","37740305"
"81426","Percentage normal sperm","X","37753789","37753789"
"81427","Percentage normal sperm","X","55480421","55480421"
"81428","Percentage normal sperm","X","35058516","35058516"
"81429","Percentage normal sperm","X","56975202","56975202"
"81430","Percentage normal sperm","X","37791660","37791660"
"81431","Percentage normal sperm","X","34547309","34547309"
"81432","Percentage normal sperm","X","37101493","37101493"
"81433","Percentage normal sperm","X","37608956","37608956"
"81434","Percentage normal sperm","X","55042489","55042489"
"81435","Percentage normal sperm","X","37612640","37612640"
"81436","Percentage normal sperm","X","33762755","33762755"
"81437","Percentage normal sperm","X","45927845","45927845"
"81438","Percentage normal sperm","X","60971506","60971506"
